State,County,Cases,Deaths
Arkansas,Monroe,939,18
Arkansas,Nevada,930,26
Arkansas,Searcy,899,18
Arkansas,Dallas,886,16
Arkansas,Newton,848,26
Arkansas,Montgomery,781,33
Arkansas,Woodruff,663,14
Arkansas,Lafayette,576,9
Arkansas,Calhoun,446,3
California,Los Angeles,"1,274,071","24,603"
California,Riverside,"304,060","4,657"
California,San Bernardino,"303,350","5,235"
California,San Diego,"288,272","3,786"
California,Orange,"277,845","5,139"
California,Santa Clara,"121,304","2,202"
California,Sacramento,"112,143","1,764"
California,Kern,"112,063","1,416"
California,Fresno,"103,438","1,736"
California,Alameda,"93,382","1,287"
California,Ventura,"82,734","1,041"
California,San Joaquin,"76,034","1,446"
California,Contra Costa,"73,662",825
California,Stanislaus,"64,792","1,083"
California,Tulare,"50,074",855
California,Monterey,"44,243",518
California,San Mateo,"43,670",584
California,San Francisco,"38,539",560
California,Santa Barbara,"35,116",462
California,Solano,"34,890",268
California,Merced,"32,814",484
California,Sonoma,"31,875",327
California,Imperial,"28,987",741
California,Placer,"24,483",304
California,Kings,"23,285",248
California,San Luis Obispo,"21,717",264
California,Madera,"16,856",248
California,Santa Cruz,"16,425",209
California,Yolo,"14,495",213
California,Marin,"14,396",234
California,Butte,"12,916",203
California,Shasta,"12,766",242
California,El Dorado,"10,727",118
California,Napa,"10,192",81
California,Sutter,"9,951",114
California,Yuba,"6,789",52
California,San Benito,"6,196",63
California,Lassen,"5,863",26
California,Tehama,"5,153",65
California,Nevada,"5,148",75
California,Humboldt,"4,824",53
California,Mendocino,"4,533",50
California,Tuolumne,"4,320",73
California,Lake,"3,871",64
California,Amador,"3,806",48
California,Glenn,"2,993",27
California,Siskiyou,"2,509",40
California,Colusa,"2,322",18
California,Calaveras,"2,256",58
California,Del Norte,"1,541",8
California,Inyo,"1,446",38
California,Mono,"1,307",5
California,Plumas,743,6
California,Modoc,573,7
California,Mariposa,475,7
California,Trinity,345,3
California,Alpine,89,0
California,Sierra,64,0
Colorado,Denver,"75,274",850
Colorado,El Paso,"75,043",894
Colorado,Arapahoe,"64,974",843
Colorado,Adams,"62,916",764
