State,County,Cases,Deaths
Maine,Oxford,"3,668",70
Maine,Somerset,"2,303",34
Maine,Aroostook,"1,940",53
Maine,Sagadahoc,"1,479",11
Maine,Franklin,"1,404",15
Maryland,Prince George's,"86,113","1,601"
Maryland,Montgomery,"71,630","1,628"
Maryland,Baltimore,"66,270","1,690"
Maryland,Baltimore city,"53,380","1,262"
Maryland,Anne Arundel,"44,225",668
Maryland,Frederick,"19,935",344
Maryland,Howard,"19,455",258
Maryland,Harford,"16,747",302
Maryland,Washington,"14,717",334
Maryland,Charles,"11,047",217
Massachusetts,Middlesex,"136,114","3,788"
Massachusetts,Essex,"98,320","2,410"
Massachusetts,Suffolk,"93,688","1,853"
Massachusetts,Worcester,"77,816","2,253"
Massachusetts,Bristol,"67,311","1,750"
Massachusetts,Norfolk,"55,331","1,808"
Massachusetts,Hampden,"52,719","1,539"
Massachusetts,Plymouth,"49,548","1,449"
Massachusetts,Unknown,"47,629",14
Massachusetts,Barnstable,"14,169",473
Michigan,Wayne,"167,006","5,196"
Michigan,Oakland,"119,379","2,467"
Michigan,Macomb,"101,015","2,507"
Michigan,Kent,"74,098",868
Michigan,Genesee,"41,901",976
Michigan,Ottawa,"33,049",442
Michigan,Washtenaw,"27,259",312
Michigan,Ingham,"25,019",394
Michigan,Kalamazoo,"23,302",403
Michigan,Saginaw,"22,625",639
Minnesota,Hennepin,"126,079","1,794"
Minnesota,Ramsey,"52,913",910
Minnesota,Dakota,"47,173",475
Minnesota,Anoka,"43,153",465
Minnesota,Washington,"27,621",296
Minnesota,Stearns,"22,640",227
Minnesota,St. Louis,"18,229",319
Minnesota,Scott,"17,653",139
Minnesota,Wright,"16,495",152
Minnesota,Olmsted,"13,488",102
Mississippi,DeSoto,"22,803",279
Mississippi,Hinds,"22,483",433
Mississippi,Harrison,"19,332",323
Mississippi,Rankin,"14,688",286
Mississippi,Jackson,"14,166",251
Mississippi,Madison,"10,616",227
Mississippi,Lee,"10,371",178
Mississippi,Jones,"8,681",169
Mississippi,Forrest,"8,120",156
Mississippi,Lauderdale,"7,485",243
Missouri,St. Louis,"105,094","2,291"
Missouri,St. Charles,"49,615",600
Missouri,Kansas City,"47,386",611
Missouri,Jackson,"41,553",492
Missouri,Greene,"36,454",505
Missouri,St. Louis city,"26,220",538
Missouri,Jefferson,"24,463",255
Missouri,Boone,"20,292",118
Missouri,Buchanan,"11,858",189
Missouri,Jasper,"11,157",140
Montana,Yellowstone,"18,302",281
Montana,Gallatin,"15,112",63
Montana,Flathead,"12,774",107
Montana,Cascade,"9,623",188
Montana,Missoula,"9,490",99
Montana,Lewis and Clark,"7,095",92
Montana,Silver Bow,"4,178",86
Montana,Ravalli,"3,293",51
Montana,Big Horn,"2,596",76
Montana,Lake,"2,159",38
Nebraska,Douglas,"72,843",737
Nebraska,Lancaster,"31,873",242
Nebraska,Sarpy,"22,539",134
Nebraska,Hall,"7,893",120
Nebraska,Buffalo,"5,532",57
Nebraska,Dodge,"5,004",83
Nebraska,Scotts Bluff,"4,731",96
Nebraska,Madison,"4,303",44
Nebraska,Lincoln,"4,176",81
Nebraska,Dakota,"4,155",82
Nevada,Clark,"272,152","4,592"
Nevada,Washoe,"46,897",688
Nevada,Carson City,"6,683",125
Nevada,Elko,"5,290",60
Nevada,Lyon,"3,448",67
Nevada,Nye,"3,119",108
Nevada,Douglas,"3,060",37
Nevada,Churchill,"2,169",49
Nevada,Humboldt,"1,240",14
Nevada,Pershing,972,20
